clip_id,categories,duration,youtube_id
ZloQM4Cw0gQ.13,['Science & Technology'],"['00:02:00.899', '00:02:12.910']",ZloQM4Cw0gQ
g7SMChMbgi0.11,['Science & Technology'],"['00:01:27.886', '00:01:40.248']",g7SMChMbgi0
J0xv6jIt9gc.9,['Comedy'],"['00:01:21.060', '00:01:31.200']",J0xv6jIt9gc
mLIhQfj991w.33,['Entertainment'],"['00:05:33.180', '00:05:47.520']",mLIhQfj991w
X8u1jvjk_3w.7,['Autos & Vehicles'],"['00:01:37.590', '00:01:56.610']",X8u1jvjk_3w
NU0OCpNFRpg.37,['Education'],"['00:06:51.980', '00:07:05.460']",NU0OCpNFRpg
nz3qPdl0LYA.22,['Film & Animation'],"['00:05:53.800', '00:06:14.350']",nz3qPdl0LYA
pP8wn62s1XI.6,['News & Politics'],"['00:00:57.180', '00:01:08.700']",pP8wn62s1XI
NMtFglZ1CQ8.2,['News & Politics'],"['00:00:26.949', '00:00:39.249']",NMtFglZ1CQ8
3UmJvcXI8SA.18,['News & Politics'],"['00:04:10.210', '00:04:28.840']",3UmJvcXI8SA
ZpHFDX2O6lI.2,['Gaming'],"['00:00:31.390', '00:00:47.320']",ZpHFDX2O6lI
pz5LEdZhOVM.5,['Howto & Style'],"['00:01:00.960', '00:01:12.720']",pz5LEdZhOVM
LGgaMq1eZGw.52,['Entertainment'],"['00:09:37.740', '00:09:50.580']",LGgaMq1eZGw
c2kttnw7Yiw.130,['Science & Technology'],"['00:17:31.010', '00:17:42.230']",c2kttnw7Yiw
pUKndKmlHa4.8,['Travel & Events'],"['00:01:41.939', '00:01:58.950']",pUKndKmlHa4
mXl2RY_v7Rs.31,['Entertainment'],"['00:04:13.439', '00:04:24.080']",mXl2RY_v7Rs
oYogcC4o6To.51,['Education'],"['00:09:12.710', '00:09:31.100']",oYogcC4o6To
mo0blSnF1NM.24,['Education'],"['00:03:33.680', '00:03:48.180']",mo0blSnF1NM
JNy71sJzRWo.15,['Travel & Events'],"['00:02:31.769', '00:02:46.530']",JNy71sJzRWo
oYkbGPfasxQ.9,['Autos & Vehicles'],"['00:02:00.189', '00:02:19.060']",oYkbGPfasxQ
33XjEnlvbu4.5,['News & Politics'],"['00:00:58.379', '00:01:17.040']",33XjEnlvbu4
pmP1JFVd33M.37,['Sports'],"['00:08:42.210', '00:08:57.850']",pmP1JFVd33M
5I5sDxEETYg.14,['Film & Animation'],"['00:02:30.640', '00:02:45.480']",5I5sDxEETYg
BFr_VEL1MSQ.3,['Entertainment'],"['00:00:19.030', '00:00:30.495']",BFr_VEL1MSQ
cQ2YFsqaVTE.5,['Science & Technology'],"['00:00:36.830', '00:00:47.190']",cQ2YFsqaVTE
J1h-Fxv_fLg.56,['Science & Technology'],"['00:06:18.170', '00:06:31.320']",J1h-Fxv_fLg
oCyThLQ-5uE.3,['News & Politics'],"['00:00:34.380', '00:00:44.670']",oCyThLQ-5uE
aJn6kLQPkdE.1,['Gaming'],"['00:00:10.910', '00:00:29.350']",aJn6kLQPkdE
pLDJmkLs_Zg.3,['Science & Technology'],"['00:00:39.239', '00:00:51.809']",pLDJmkLs_Zg
FQYfXKSTjJ0.10,['Sports'],"['00:01:37.700', '00:01:52.520']",FQYfXKSTjJ0
pLRLgaJIN6o.11,['Howto & Style'],"['00:02:27.360', '00:02:49.360']",pLRLgaJIN6o
XwIuk1XPbyY.11,['Entertainment'],"['00:01:27.850', '00:01:38.060']",XwIuk1XPbyY
outssaommoY.45,['Education'],"['00:08:55.760', '00:09:09.760']",outssaommoY
588wCc9xL2o.33,['Education'],"['00:05:17.280', '00:05:32.000']",588wCc9xL2o
eSUMRpoy96I.38,['Autos & Vehicles'],"['00:08:41.630', '00:09:08.810']",eSUMRpoy96I
ax3zW_CLuKs.6,['Science & Technology'],"['00:01:25.500', '00:01:39.330']",ax3zW_CLuKs
pOA7KcYaQ1M.9,['Science & Technology'],"['00:02:04.539', '00:02:23.060']",pOA7KcYaQ1M
PCb9SeC-CPg.2,['News & Politics'],"['00:00:22.580', '00:00:35.280']",PCb9SeC-CPg
XGxiw2i1-88.40,['Entertainment'],"['00:06:57.929', '00:07:20.639']",XGxiw2i1-88
bBA54j9DGGc.4,['News & Politics'],"['00:00:47.190', '00:01:16.950']",bBA54j9DGGc
cQo-yYhExw0.15,['Film & Animation'],"['00:02:15.560', '00:02:30.019']",cQo-yYhExw0
gSR8p0X7I-8.5,['News & Politics'],"['00:00:29.659', '00:00:42.180']",gSR8p0X7I-8
o2Cov5U-6Kw.40,['Autos & Vehicles'],"['00:06:31.310', '00:06:47.840']",o2Cov5U-6Kw
XqDukzqN8Dw.44,['Travel & Events'],"['00:11:56.800', '00:12:13.420']",XqDukzqN8Dw
a1mZ1zV41jk.4,['Entertainment'],"['00:00:27.810', '00:00:38.670']",a1mZ1zV41jk
i7l7e4ANqUk.45,['Autos & Vehicles'],"['00:08:36.930', '00:08:50.950']",i7l7e4ANqUk
7MEmYGW_fOI.7,['Autos & Vehicles'],"['00:01:13.050', '00:01:27.090']",7MEmYGW_fOI
maWd_BemCMY.99,['Science & Technology'],"['00:18:00.460', '00:18:18.610']",maWd_BemCMY
DF7ooibQC3Q.30,['People & Blogs'],"['00:05:38.389', '00:05:54.919']",DF7ooibQC3Q
nwOI6Q8hK4Y.9,['Autos & Vehicles'],"['00:02:10.360', '00:02:25.209']",nwOI6Q8hK4Y
kSmTF6KoUb8.72,['Nonprofits & Activism'],"['00:12:10.579', '00:12:22.939']",kSmTF6KoUb8
LQoAlDycIyc.7,['Howto & Style'],"['00:00:55.509', '00:01:05.798']",LQoAlDycIyc
bB6lBWzN6LQ.3,['Entertainment'],"['00:00:29.010', '00:00:39.809']",bB6lBWzN6LQ
m7G1shZzWrY.25,['Howto & Style'],"['00:04:01.239', '00:04:21.310']",m7G1shZzWrY
pY1cMWFYrgY.13,['Autos & Vehicles'],"['00:02:34.970', '00:02:52.130']",pY1cMWFYrgY
L3yW5W_JAdQ.10,['Sports'],"['00:02:27.180', '00:02:41.370']",L3yW5W_JAdQ
P9DmQVlTOsg.8,['News & Politics'],"['00:01:21.330', '00:01:34.979']",P9DmQVlTOsg
JQGhUefLDhQ.5,['Autos & Vehicles'],"['00:01:14.490', '00:01:25.619']",JQGhUefLDhQ
3GaRoFlqCVo.5,['Science & Technology'],"['00:00:59.969', '00:01:15.600']",3GaRoFlqCVo
5Elml1durM0.15,['Gaming'],"['00:02:09.989', '00:02:21.849']",5Elml1durM0
1L7EI0vKVuU.9,['Education'],"['00:01:01.500', '00:01:18.790']",1L7EI0vKVuU
ns3Zn_uBVYI.13,['Education'],"['00:01:51.729', '00:02:02.079']",ns3Zn_uBVYI
XByDsde1hhE.15,['Film & Animation'],"['00:03:53.890', '00:04:13.450']",XByDsde1hhE
qOdO8aMoP7Q.31,['Howto & Style'],"['00:06:41.280', '00:06:57.599']",qOdO8aMoP7Q
B7yzN9vsyB4.22,['Autos & Vehicles'],"['00:03:40.820', '00:03:54.340']",B7yzN9vsyB4
NNcPen6qI44.8,['Science & Technology'],"['00:01:54.000', '00:02:19.769']",NNcPen6qI44
YQywOi2mCrE.38,['Nonprofits & Activism'],"['00:08:53.410', '00:09:18.410']",YQywOi2mCrE
XI8JDKFyLsU.10,['Sports'],"['00:01:26.880', '00:01:40.409']",XI8JDKFyLsU
eGPgCLX_hGY.29,['Pets & Animals'],"['00:05:18.780', '00:05:29.610']",eGPgCLX_hGY
m1LkplnOoEM.10,['People & Blogs'],"['00:01:38.780', '00:01:50.380']",m1LkplnOoEM
p0woUcWphLU.2,['Film & Animation'],"['00:00:18.510', '00:00:30.660']",p0woUcWphLU
ohjDiymzSF8.1,['Education'],"['00:00:11.710', '00:00:23.000']",ohjDiymzSF8
pZiKLNnanWs.17,['Science & Technology'],"['00:03:52.099', '00:04:05.269']",pZiKLNnanWs
gBuhkakndkA.5,['People & Blogs'],"['00:00:37.950', '00:00:52.410']",gBuhkakndkA
cRAyLuq8bN4.21,['Science & Technology'],"['00:03:55.139', '00:04:09.389']",cRAyLuq8bN4
BTojV_NqWCA.6,['Howto & Style'],"['00:00:52.199', '00:01:08.670']",BTojV_NqWCA
lYkVA2bdsJQ.6,['News & Politics'],"['00:01:08.510', '00:01:20.070']",lYkVA2bdsJQ
aydO1LM2H2s.25,['Sports'],"['00:04:11.569', '00:04:25.010']",aydO1LM2H2s
kUUX-ADISP8.1,['People & Blogs'],"['00:00:09.660', '00:00:42.960']",kUUX-ADISP8
l5BjP5ttp1s.2,['News & Politics'],"['00:00:25.730', '00:00:42.320']",l5BjP5ttp1s
VkFFDhhQfU4.1,['News & Politics'],"['00:00:36.020', '00:00:47.789']",VkFFDhhQfU4
nye15gdtQyo.21,['Autos & Vehicles'],"['00:07:28.639', '00:08:01.460']",nye15gdtQyo
rjnGP7kQ16o.3,['Education'],"['00:00:22.020', '00:00:55.559']",rjnGP7kQ16o
axk88VmmG3c.8,['News & Politics'],"['00:01:17.610', '00:01:34.170']",axk88VmmG3c
3G--CoiDD4I.4,['Entertainment'],"['00:00:33.480', '00:00:46.980']",3G--CoiDD4I
lOKSgQ-2hP8.9,['Autos & Vehicles'],"['00:01:49.890', '00:02:03.210']",lOKSgQ-2hP8
V4M3FYUbVlM.5,['News & Politics'],"['00:00:52.410', '00:01:03.239']",V4M3FYUbVlM
pS7cSJ77Tok.27,['Autos & Vehicles'],"['00:04:51.770', '00:05:04.490']",pS7cSJ77Tok
aTM1uj5qEyM.7,['Comedy'],"['00:01:03.840', '00:01:16.990']",aTM1uj5qEyM
niM7em5jAdY.75,['Education'],"['00:09:15.310', '00:09:28.210']",niM7em5jAdY
iF-Bi-XL6lg.122,['Film & Animation'],"['00:21:06.400', '00:21:31.360']",iF-Bi-XL6lg
J3kP04wpIsU.14,['Music'],"['00:03:54.867', '00:04:07.113']",J3kP04wpIsU
lQBvuBOUGY4.5,['Autos & Vehicles'],"['00:01:14.030', '00:01:24.700']",lQBvuBOUGY4
VRvfea6XLAU.21,['Sports'],"['00:03:59.489', '00:04:11.430']",VRvfea6XLAU
oyFEkK_2lZ4.4,['Autos & Vehicles'],"['00:00:54.270', '00:01:06.540']",oyFEkK_2lZ4
lkIIFA0UvtE.2,['Pets & Animals'],"['00:00:11.280', '00:00:21.840']",lkIIFA0UvtE
H-vNVYWsXbY.3,['Nonprofits & Activism'],"['00:00:31.859', '00:00:46.440']",H-vNVYWsXbY
7UD1A6r8kAM.40,['Film & Animation'],"['00:06:21.720', '00:06:32.340']",7UD1A6r8kAM
lq6xuOw2mP8.104,['People & Blogs'],"['00:18:44.780', '00:18:56.480']",lq6xuOw2mP8
YMAIsUl05do.83,['Pets & Animals'],"['00:09:34.040', '00:09:52.692']",YMAIsUl05do
oskH1elJXQ8.5,['Entertainment'],"['00:01:09.689', '00:01:31.200']",oskH1elJXQ8
odF-CDEQr1Q.11,['People & Blogs'],"['00:01:33.840', '00:01:49.860']",odF-CDEQr1Q
iPf9WCuXAOE.48,['Science & Technology'],"['00:08:07.789', '00:08:24.380']",iPf9WCuXAOE
XK8Qw_lFTaY.1,['News & Politics'],"['00:00:07.410', '00:00:19.619']",XK8Qw_lFTaY
grX26SUrHPQ.3,['Sports'],"['00:00:32.880', '00:00:45.320']",grX26SUrHPQ
oZJ5w65Mbks.14,['Education'],"['00:02:19.020', '00:02:31.840']",oZJ5w65Mbks
3Mbf7D7DLRc.13,['People & Blogs'],"['00:01:51.000', '00:02:04.680']",3Mbf7D7DLRc
NNgdnzEHyvQ.4,['Sports'],"['00:00:38.309', '00:00:51.960']",NNgdnzEHyvQ
l8kiNQqr-dU.7,['News & Politics'],"['00:00:53.760', '00:01:04.830']",l8kiNQqr-dU
a6X5eG8E7_k.1,['Howto & Style'],"['00:00:07.710', '00:00:21.330']",a6X5eG8E7_k
LOFjJVOfB2U.3,['News & Politics'],"['00:00:40.559', '00:00:58.739']",LOFjJVOfB2U
b9uetf--TEc.9,['Entertainment'],"['00:01:18.630', '00:01:30.090']",b9uetf--TEc
qAsEl9i9h8I.102,['Howto & Style'],"['00:16:57.810', '00:17:12.089']",qAsEl9i9h8I
lxz3Rdeydko.67,['Autos & Vehicles'],"['00:10:38.899', '00:10:49.279']",lxz3Rdeydko
p5rB4lnsUDI.1,['Education'],"['00:00:07.220', '00:00:17.400']",p5rB4lnsUDI
mjfaUtELFWo.13,['Entertainment'],"['00:02:01.649', '00:02:17.220']",mjfaUtELFWo
rSNaax6cwE8.13,['Entertainment'],"['00:02:31.000', '00:02:41.989']",rSNaax6cwE8
1FpeYCccCik.2,['Travel & Events'],"['00:00:13.610', '00:00:24.490']",1FpeYCccCik
WNJ98TZ3xdM.9,['Science & Technology'],"['00:01:50.340', '00:02:04.920']",WNJ98TZ3xdM
3P3T5eguPiM.4,['Howto & Style'],"['00:00:56.010', '00:01:07.830']",3P3T5eguPiM
mdZxBWen7fI.8,['Autos & Vehicles'],"['00:01:54.200', '00:02:04.489']",mdZxBWen7fI
WQ-hsdSlO30.20,['Autos & Vehicles'],"['00:04:05.960', '00:04:25.810']",WQ-hsdSlO30
Z3P1YWjVx7c.16,['Entertainment'],"['00:01:51.200', '00:02:01.700']",Z3P1YWjVx7c
qn34TDndoVI.3,['Science & Technology'],"['00:00:29.310', '00:00:46.860']",qn34TDndoVI
nThhL-Xh49g.48,['People & Blogs'],"['00:05:09.895', '00:05:21.194']",nThhL-Xh49g
nL5kGmMw8s4.81,['Sports'],"['00:09:46.640', '00:09:58.070']",nL5kGmMw8s4
o4tgPRL9_Ws.1,['People & Blogs'],"['00:00:14.219', '00:00:24.420']",o4tgPRL9_Ws
YRvNshkR3h4.16,['Sports'],"['00:03:33.280', '00:03:48.390']",YRvNshkR3h4
_IneuxhzK6c.20,['Entertainment'],"['00:03:50.879', '00:04:01.170']",_IneuxhzK6c
XAYueJtlLOM.16,['Education'],"['00:02:35.430', '00:02:57.120']",XAYueJtlLOM
aP7czRnJM6Q.23,['People & Blogs'],"['00:04:18.100', '00:04:29.440']",aP7czRnJM6Q
55zXNK3TWz4.15,['Sports'],"['00:03:15.680', '00:03:31.099']",55zXNK3TWz4
XnJ3qjdpQmw.8,['Gaming'],"['00:01:11.490', '00:01:22.350']",XnJ3qjdpQmw
DFBElR19L9k.44,['Education'],"['00:07:57.560', '00:08:11.180']",DFBElR19L9k
c9qTtPgF3_g.12,['Education'],"['00:02:02.130', '00:02:16.080']",c9qTtPgF3_g
r_Omv8fQ1hQ.15,['Education'],"['00:02:20.350', '00:02:37.209']",r_Omv8fQ1hQ
JSV-RZuInAo.4,['Sports'],"['00:01:44.850', '00:02:05.770']",JSV-RZuInAo
iJFkzC-kp3I.8,['Entertainment'],"['00:01:16.259', '00:01:26.520']",iJFkzC-kp3I
N0brz4e52C8.29,['Travel & Events'],"['00:05:37.080', '00:05:58.960']",N0brz4e52C8
rTDqDdpvm0Y.1,['Entertainment'],"['00:00:08.069', '00:00:23.699']",rTDqDdpvm0Y
mFTJLFBeewk.2,['Autos & Vehicles'],"['00:00:41.260', '00:00:52.879']",mFTJLFBeewk
XHcbFSTPigs.13,['Entertainment'],"['00:03:53.550', '00:04:14.370']",XHcbFSTPigs
oBeN5bdGF1o.1,['Science & Technology'],"['00:00:12.059', '00:00:27.869']",oBeN5bdGF1o
VIWqNVXqTtE.56,['Pets & Animals'],"['00:13:18.000', '00:13:50.639']",VIWqNVXqTtE
prH3v63Idk8.32,['People & Blogs'],"['00:14:51.170', '00:15:06.839']",prH3v63Idk8
ok80JYJrG4o.4,['Autos & Vehicles'],"['00:00:51.440', '00:01:02.720']",ok80JYJrG4o
pwsBYZgspAg.74,['Science & Technology'],"['00:16:19.900', '00:16:30.760']",pwsBYZgspAg
DOkcx5av77E.1,['Howto & Style'],"['00:00:06.150', '00:00:19.230']",DOkcx5av77E
D7AvBav90Og.7,['News & Politics'],"['00:01:10.430', '00:01:23.270']",D7AvBav90Og
pXZ-UTfTaOw.9,['Science & Technology'],"['00:01:50.729', '00:02:11.579']",pXZ-UTfTaOw
l6wKapTsMnY.82,['News & Politics'],"['00:10:10.390', '00:10:20.940']",l6wKapTsMnY
mD3guu7sxAM.21,['Howto & Style'],"['00:03:47.740', '00:04:19.269']",mD3guu7sxAM
eIn7HtNlLxM.11,['Music'],"['00:02:35.410', '00:03:15.070']",eIn7HtNlLxM
oAGlQZFPDJI.56,['People & Blogs'],"['00:06:07.668', '00:06:22.503']",oAGlQZFPDJI
L4bff4LyuDM.102,['Film & Animation'],"['00:13:25.930', '00:13:36.730']",L4bff4LyuDM
i2WM__qewc0.1,['Autos & Vehicles'],"['00:00:06.390', '00:00:18.150']",i2WM__qewc0
1jWjWMoFJxg.10,['News & Politics'],"['00:01:01.360', '00:01:14.210']",1jWjWMoFJxg
oeLWZnqwMUo.5,['Autos & Vehicles'],"['00:00:59.250', '00:01:14.280']",oeLWZnqwMUo
NDnu3lLKls4.3,['Howto & Style'],"['00:00:47.210', '00:00:57.500']",NDnu3lLKls4
V1ZFk6GDvoY.5,['News & Politics'],"['00:00:42.930', '00:00:55.800']",V1ZFk6GDvoY
XS3-ybqugS4.19,['Sports'],"['00:02:38.959', '00:02:50.870']",XS3-ybqugS4
ZOLKYxx7ZsQ.23,['Sports'],"['00:03:21.989', '00:03:34.739']",ZOLKYxx7ZsQ
X-JoX1uFtzE.1,['News & Politics'],"['00:00:06.569', '00:00:18.660']",X-JoX1uFtzE
ZwsYg2HWOa8.7,['News & Politics'],"['00:00:59.550', '00:01:10.080']",ZwsYg2HWOa8
pjwOqfq8Pz0.10,['Science & Technology'],"['00:01:49.500', '00:02:00.060']",pjwOqfq8Pz0
V2rxTLvaK5k.45,['Education'],"['00:05:56.550', '00:06:07.650']",V2rxTLvaK5k
LUumJSrx4gE.10,['Education'],"['00:01:29.610', '00:01:40.049']",LUumJSrx4gE
BCdjF9fBRnM.42,['Education'],"['00:05:02.639', '00:05:18.279']",BCdjF9fBRnM
aGu-2KaP6pc.1,['Science & Technology'],"['00:00:23.400', '00:00:43.980']",aGu-2KaP6pc
axxhEH1GGGw.5,['Autos & Vehicles'],"['00:00:58.140', '00:01:09.390']",axxhEH1GGGw
XfoBSq_SYoQ.33,['Comedy'],"['00:04:56.500', '00:05:09.970']",XfoBSq_SYoQ
a6EGdqA8_FY.48,['Sports'],"['00:07:13.420', '00:07:23.740']",a6EGdqA8_FY
oAGSbW8kmZY.2,['Autos & Vehicles'],"['00:00:25.199', '00:00:53.280']",oAGSbW8kmZY
LFniLgJ_bj0.15,['News & Politics'],"['00:02:06.066', '00:02:20.365']",LFniLgJ_bj0
mb3yJgdiW1w.4,['Autos & Vehicles'],"['00:01:05.650', '00:01:22.450']",mb3yJgdiW1w
bMncyN_C-pQ.25,['Howto & Style'],"['00:03:53.430', '00:04:10.370']",bMncyN_C-pQ
3KgZNXK5VEU.9,['Science & Technology'],"['00:01:34.039', '00:01:46.189']",3KgZNXK5VEU
iQ-_wIkF3Rw.52,['Pets & Animals'],"['00:07:20.960', '00:07:35.743']",iQ-_wIkF3Rw
RI-Gx-H6Cts.12,['Science & Technology'],"['00:01:41.700', '00:01:58.829']",RI-Gx-H6Cts
XA6ttt0IKeQ.66,['Autos & Vehicles'],"['00:09:00.600', '00:09:11.529']",XA6ttt0IKeQ
Y3QEAYvYdDg.4,['Science & Technology'],"['00:00:50.520', '00:01:04.080']",Y3QEAYvYdDg
lmiz3zM0G-s.15,['Autos & Vehicles'],"['00:02:35.070', '00:02:48.090']",lmiz3zM0G-s
3U1HbhF-OAY.12,['News & Politics'],"['00:01:45.880', '00:02:01.159']",3U1HbhF-OAY
LDaR0Uw2N_k.3,['Film & Animation'],"['00:00:26.150', '00:00:40.250']",LDaR0Uw2N_k
cUbsF2X0-4s.17,['Film & Animation'],"['00:03:01.159', '00:03:13.609']",cUbsF2X0-4s
